loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
6094, 508, 37, 9, 83, 6
5926, 510, 37, 9, 84, 6
6395, 511, 38, 9, 83, 7
6589, 517, 38, 9, 84, 6
5851, 512, 38, 9, 83, 6
6204, 515, 38, 9, 83, 7
5811, 509, 37, 9, 83, 7
5981, 510, 37, 9, 83, 6
6012, 512, 37, 9, 82, 6
5833, 517, 38, 9, 83, 7
6159, 509, 37, 9, 82, 6
6317, 516, 37, 9, 82, 6
5702, 511, 37, 9, 84, 6
5970, 513, 36, 9, 83, 6
6446, 508, 37, 9, 83, 6
6037, 518, 37, 9, 83, 6
6361, 513, 37, 9, 83, 6
6062, 507, 37, 9, 83, 6
5948, 516, 38, 9, 83, 6
6370, 515, 37, 9, 83, 6
5948, 533, 37, 9, 82, 6
5990, 504, 36, 9, 81, 6
6328, 633, 36, 9, 82, 6
5770, 506, 37, 9, 83, 6
6491, 500, 37, 9, 81, 6
5926, 499, 36, 9, 81, 6
6012, 505, 37, 9, 82, 6
6172, 504, 37, 9, 82, 6
5805, 627, 37, 9, 81, 6
6054, 504, 36, 9, 81, 6
6339, 541, 37, 9, 82, 6
5829, 495, 36, 9, 81, 6
6123, 570, 37, 9, 82, 6
6378, 569, 36, 9, 81, 6
5844, 506, 37, 9, 82, 6
6528, 511, 37, 9, 82, 6
5874, 514, 37, 9, 83, 7
6090, 528, 39, 9, 83, 7
6050, 512, 37, 9, 83, 6
5836, 524, 38, 9, 84, 7
6077, 511, 37, 9, 83, 6
6135, 564, 39, 9, 84, 7
5989, 510, 37, 9, 83, 6
5999, 507, 37, 9, 83, 6
6310, 508, 37, 9, 83, 6
5912, 511, 37, 9, 83, 6
6372, 505, 37, 9, 82, 6
5854, 513, 38, 9, 83, 7
6214, 511, 37, 9, 83, 6
6052, 509, 37, 9, 83, 7
6202, 503, 37, 9, 83, 7
5843, 510, 38, 9, 84, 7
6286, 507, 36, 9, 83, 6
5615, 576, 38, 9, 83, 7
6413, 507, 36, 9, 82, 6
6111, 549, 36, 9, 82, 6
5959, 509, 37, 9, 82, 6
6266, 498, 36, 9, 82, 6
5814, 500, 36, 9, 81, 6
6191, 513, 37, 9, 82, 7
6259, 494, 36, 9, 82, 6
6051, 621, 37, 9, 82, 6
6068, 517, 39, 9, 115, 6
6273, 566, 36, 9, 82, 6
5666, 530, 36, 9, 81, 6
6238, 511, 37, 9, 82, 6
6415, 566, 36, 9, 81, 6
6099, 505, 36, 9, 81, 6
6511, 504, 37, 9, 82, 6
5969, 516, 38, 9, 84, 6
6044, 519, 38, 9, 84, 7
6376, 508, 37, 9, 83, 6
5836, 518, 37, 9, 83, 6
6240, 512, 36, 9, 82, 6
6121, 515, 37, 9, 83, 6
5821, 511, 37, 9, 83, 6
6247, 512, 37, 9, 83, 6
5846, 512, 36, 9, 82, 6
5960, 515, 36, 9, 82, 6
6311, 514, 37, 9, 83, 7
6019, 519, 37, 9, 83, 7
5923, 511, 37, 9, 82, 6
6210, 505, 37, 9, 82, 6
5960, 558, 37, 9, 82, 6
6029, 511, 36, 9, 82, 6
6294, 642, 36, 9, 83, 6
5877, 505, 37, 9, 82, 6
6517, 498, 36, 9, 81, 6
5823, 499, 36, 9, 81, 6
6014, 501, 37, 9, 82, 7
6180, 504, 37, 9, 82, 6
