loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
1795, 515, 37, 9, 83, 6
1827, 512, 37, 9, 82, 6
1817, 509, 37, 9, 82, 6
2212, 546, 37, 9, 83, 6
1962, 515, 37, 9, 83, 7
1827, 585, 37, 9, 83, 6
1805, 514, 37, 9, 83, 6
1851, 508, 37, 9, 82, 6
1796, 554, 37, 9, 83, 7
1823, 512, 37, 9, 83, 7
1794, 515, 37, 9, 82, 6
2011, 510, 37, 9, 83, 6
2017, 516, 38, 9, 83, 7
1987, 571, 37, 9, 83, 6
1827, 514, 37, 9, 83, 6
1822, 511, 37, 9, 83, 6
1803, 511, 37, 9, 83, 6
1831, 519, 38, 9, 84, 7
1800, 522, 37, 9, 84, 6
1820, 516, 38, 9, 84, 6
1995, 519, 38, 9, 122, 8
2029, 519, 38, 9, 85, 7
2043, 519, 38, 9, 84, 7
1823, 606, 38, 9, 84, 7
1799, 519, 38, 9, 84, 6
1827, 512, 37, 9, 82, 6
1805, 512, 37, 9, 83, 6
1828, 517, 37, 9, 82, 6
1801, 511, 37, 9, 83, 6
2023, 546, 42, 9, 83, 7
2027, 515, 37, 9, 83, 7
1994, 509, 71, 9, 83, 6
1819, 542, 37, 9, 83, 6
1835, 510, 37, 9, 82, 6
1810, 508, 37, 9, 83, 6
1830, 517, 38, 9, 83, 6
1825, 662, 72, 23, 84, 6
1829, 525, 38, 9, 83, 7
2075, 555, 39, 9, 83, 7
2071, 558, 39, 10, 84, 7
16902, 570, 55, 9, 165, 21
2029, 555, 40, 9, 84, 7
10547, 599, 37, 9, 82, 6
2611, 561, 42, 10, 84, 7
1980, 540, 38, 9, 83, 6
1931, 509, 36, 9, 82, 6
2024, 500, 36, 9, 81, 6
2078, 499, 35, 9, 81, 6
1855, 534, 36, 9, 81, 6
1881, 498, 35, 9, 80, 6
1861, 497, 35, 9, 81, 6
2101, 498, 35, 9, 81, 6
2076, 504, 35, 9, 81, 6
2075, 502, 35, 8, 81, 6
1851, 498, 35, 8, 80, 6
1880, 502, 35, 9, 81, 6
1862, 498, 35, 9, 80, 6
1899, 496, 35, 9, 80, 6
1860, 496, 34, 8, 80, 6
1871, 501, 35, 9, 80, 6
2255, 543, 35, 9, 80, 6
2085, 499, 34, 8, 80, 6
1871, 500, 35, 9, 80, 6
1885, 498, 34, 9, 81, 6
1856, 540, 35, 9, 81, 6
1878, 501, 35, 9, 80, 6
1855, 503, 35, 8, 81, 6
1877, 497, 34, 8, 81, 6
2086, 498, 34, 8, 80, 6
2096, 498, 34, 8, 81, 6
2058, 501, 35, 8, 80, 6
1879, 501, 34, 9, 80, 6
1860, 498, 38, 8, 80, 6
1881, 498, 34, 8, 80, 6
1856, 495, 34, 8, 81, 6
1887, 495, 34, 8, 80, 6
1854, 497, 34, 9, 81, 6
2332, 497, 34, 8, 80, 6
2062, 497, 34, 8, 80, 6
1882, 498, 34, 8, 80, 6
1862, 567, 34, 8, 80, 6
1882, 494, 34, 9, 81, 6
1856, 502, 34, 8, 80, 6
1880, 498, 34, 8, 81, 6
1857, 501, 35, 9, 81, 6
2082, 497, 34, 8, 80, 6
2075, 500, 34, 8, 80, 6
2069, 501, 35, 8, 80, 6
1856, 502, 34, 9, 80, 6
1888, 498, 35, 9, 81, 6
1868, 497, 35, 8, 80, 6
1892, 496, 34, 9, 80, 6
1851, 495, 35, 9, 80, 6
1859, 494, 34, 8, 80, 6
2109, 494, 34, 8, 80, 6
2085, 501, 34, 8, 80, 6
2053, 498, 35, 8, 80, 6
1865, 498, 34, 9, 80, 6
1795, 497, 34, 9, 80, 6
1829, 535, 35, 8, 80, 6
1863, 497, 34, 9, 80, 6
1874, 500, 35, 9, 80, 6
1852, 495, 34, 8, 80, 6
2319, 497, 34, 8, 80, 6
2052, 501, 34, 8, 80, 6
1874, 556, 35, 8, 80, 6
1848, 507, 36, 9, 82, 6
1879, 570, 36, 9, 165, 22
1865, 568, 36, 9, 81, 6
1879, 552, 35, 9, 81, 6
1850, 530, 35, 9, 81, 6
2105, 497, 35, 9, 81, 6
2077, 499, 35, 9, 80, 6
2477, 501, 35, 9, 80, 6
1859, 498, 34, 9, 80, 6
1875, 502, 35, 9, 80, 6
1859, 498, 35, 9, 80, 6
1867, 498, 35, 9, 80, 6
1862, 500, 34, 9, 80, 6
1870, 497, 34, 8, 80, 6
2276, 498, 34, 9, 80, 6
2070, 499, 34, 9, 80, 6
1849, 504, 35, 9, 81, 6
1862, 500, 35, 9, 80, 6
1855, 499, 35, 9, 80, 6
1870, 500, 34, 9, 80, 6
1856, 501, 35, 9, 80, 6
1873, 500, 34, 8, 80, 6
2084, 500, 34, 9, 81, 6
2109, 499, 34, 8, 80, 6
2055, 497, 34, 8, 80, 6
1861, 495, 35, 8, 80, 6
1857, 531, 34, 8, 80, 6
1876, 503, 34, 9, 80, 6
1851, 498, 35, 9, 81, 6
1873, 502, 35, 9, 80, 6
1844, 500, 35, 8, 80, 6
2311, 498, 35, 9, 80, 6
2046, 534, 34, 9, 80, 6
1874, 496, 35, 9, 80, 6
1855, 499, 35, 9, 80, 6
1881, 496, 35, 8, 80, 6
1850, 498, 35, 8, 80, 6
1882, 496, 35, 8, 80, 6
1846, 498, 35, 8, 80, 6
2092, 498, 34, 9, 80, 6
2057, 494, 34, 9, 80, 6
