loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
1808, 540, 34, 8, 80, 6
1856, 524, 34, 8, 80, 6
1853, 578, 34, 8, 80, 6
1862, 522, 34, 8, 80, 6
1852, 527, 39, 8, 121, 6
1859, 531, 34, 8, 80, 6
1850, 525, 34, 8, 80, 6
2217, 532, 36, 8, 80, 6
1999, 525, 34, 8, 80, 6
1855, 520, 34, 8, 80, 6
1838, 521, 34, 8, 80, 6
1845, 526, 34, 8, 80, 6
1849, 523, 34, 8, 80, 6
1853, 521, 34, 8, 80, 6
1840, 526, 34, 8, 80, 6
1864, 521, 34, 8, 80, 6
2256, 523, 34, 8, 80, 6
2032, 526, 34, 8, 80, 6
1841, 523, 34, 8, 80, 6
1866, 523, 34, 8, 80, 6
1846, 521, 34, 8, 80, 6
1854, 521, 34, 8, 80, 6
1842, 524, 34, 8, 80, 6
1849, 531, 35, 8, 80, 6
1837, 522, 34, 8, 80, 6
2376, 522, 34, 8, 84, 6
1849, 523, 34, 8, 80, 6
1863, 524, 34, 8, 80, 6
1836, 521, 34, 8, 80, 6
1870, 521, 34, 8, 82, 6
1851, 519, 34, 8, 86, 7
1865, 521, 34, 8, 80, 6
1850, 525, 34, 8, 80, 6
2214, 523, 34, 8, 80, 6
2010, 522, 34, 8, 80, 6
1863, 526, 33, 8, 80, 6
1836, 526, 34, 8, 80, 6
1875, 527, 34, 8, 80, 6
16408, 529, 34, 8, 80, 6
2065, 523, 34, 8, 80, 6
1849, 512, 34, 8, 78, 6
1876, 516, 34, 8, 78, 6
1855, 517, 33, 8, 78, 6
2104, 518, 34, 8, 79, 6
2011, 513, 33, 8, 78, 6
2072, 514, 33, 8, 79, 6
1844, 518, 33, 8, 78, 6
1880, 519, 33, 8, 78, 6
1869, 551, 33, 8, 78, 6
1863, 523, 34, 8, 78, 6
1844, 515, 34, 8, 79, 6
1871, 548, 33, 8, 79, 6
2272, 561, 34, 8, 79, 6
2069, 517, 34, 8, 79, 6
1854, 519, 33, 8, 78, 6
1896, 518, 33, 8, 78, 6
1851, 515, 34, 8, 78, 6
1881, 516, 33, 8, 78, 6
1860, 519, 33, 8, 78, 6
1876, 519, 33, 8, 78, 6
2056, 520, 33, 8, 78, 6
2041, 556, 34, 8, 79, 6
2059, 523, 33, 8, 78, 6
1878, 523, 33, 8, 78, 6
1848, 519, 33, 8, 78, 6
2012, 555, 48, 8, 78, 6
1855, 518, 33, 8, 78, 6
1861, 525, 34, 8, 81, 6
1845, 520, 33, 8, 78, 6
2110, 519, 33, 8, 78, 6
1970, 521, 33, 8, 78, 6
2056, 522, 34, 8, 78, 6
1854, 517, 33, 8, 78, 6
1880, 518, 33, 8, 78, 6
1848, 513, 33, 8, 79, 6
1865, 521, 34, 8, 79, 6
1855, 514, 34, 8, 78, 6
1873, 518, 33, 8, 78, 6
2227, 515, 33, 8, 79, 6
2073, 546, 33, 8, 79, 6
1849, 519, 33, 8, 78, 6
1879, 512, 33, 8, 78, 6
1856, 516, 34, 8, 78, 6
1868, 516, 33, 8, 79, 6
1843, 521, 33, 8, 78, 6
1865, 520, 33, 8, 78, 6
2077, 524, 34, 8, 78, 6
2040, 520, 33, 8, 78, 6
2057, 521, 33, 8, 138, 6
1861, 523, 33, 8, 79, 6
1866, 520, 34, 8, 78, 6
1883, 520, 33, 8, 79, 6
1848, 551, 34, 8, 78, 6
1870, 520, 33, 8, 78, 6
1851, 515, 33, 8, 81, 6
2104, 518, 33, 8, 78, 6
2016, 522, 33, 8, 79, 6
2061, 518, 34, 8, 79, 6
1851, 517, 33, 8, 81, 6
1868, 520, 33, 8, 78, 6
1827, 517, 33, 8, 78, 6
1872, 520, 34, 8, 78, 6
1842, 521, 34, 8, 78, 6
1870, 519, 34, 8, 79, 6
2241, 561, 33, 8, 79, 6
2063, 521, 34, 8, 79, 6
1846, 519, 33, 8, 78, 6
1865, 519, 33, 8, 79, 6
1848, 523, 33, 8, 79, 6
1862, 522, 33, 8, 79, 6
1846, 521, 33, 8, 79, 6
1862, 551, 33, 8, 78, 6
2073, 520, 33, 8, 78, 6
2043, 586, 34, 8, 78, 6
2033, 523, 34, 8, 79, 6
1871, 522, 34, 8, 78, 6
1835, 520, 33, 8, 78, 6
1870, 524, 33, 8, 78, 6
1850, 521, 33, 8, 79, 6
1871, 525, 34, 8, 79, 6
1842, 520, 33, 8, 79, 6
2113, 513, 33, 8, 78, 6
2021, 515, 33, 8, 79, 6
2062, 516, 33, 8, 82, 6
1839, 516, 33, 8, 78, 6
1862, 521, 33, 8, 78, 6
1849, 518, 33, 8, 78, 6
1868, 520, 34, 8, 79, 6
1845, 513, 34, 8, 79, 6
1860, 517, 33, 8, 78, 6
2236, 517, 33, 8, 78, 6
2118, 517, 64, 8, 78, 6
1843, 514, 33, 8, 78, 6
1865, 517, 33, 8, 78, 6
1840, 517, 33, 8, 78, 6
1870, 519, 33, 8, 78, 6
1848, 517, 33, 8, 78, 6
1873, 516, 33, 8, 78, 6
2078, 521, 33, 8, 78, 6
2033, 518, 33, 8, 79, 6
2035, 515, 33, 8, 78, 6
1863, 514, 33, 8, 79, 6
1850, 518, 33, 8, 78, 6
1874, 517, 33, 8, 78, 6
1848, 520, 33, 8, 79, 6
1870, 517, 33, 8, 78, 6
1856, 514, 33, 8, 78, 6
2242, 514, 33, 8, 79, 6
2040, 621, 34, 8, 78, 6
1878, 522, 33, 8, 79, 6
1836, 524, 33, 8, 78, 6
1858, 525, 33, 8, 78, 6
1847, 523, 33, 8, 79, 6
1870, 521, 34, 8, 78, 6
1854, 520, 33, 8, 78, 6
1858, 517, 34, 8, 79, 6
2256, 568, 34, 8, 79, 6
2080, 527, 34, 8, 79, 6
1839, 519, 33, 8, 78, 6
1868, 521, 33, 8, 79, 6
1848, 524, 33, 8, 78, 6
1857, 523, 33, 8, 79, 6
1848, 520, 33, 8, 78, 6
1619, 530, 39, 9, 82, 7
2068, 524, 36, 8, 80, 6
2042, 524, 35, 8, 80, 6
2049, 519, 35, 8, 79, 6
1870, 524, 34, 8, 79, 6
1861, 518, 34, 8, 79, 6
1857, 517, 34, 8, 79, 6
1854, 519, 34, 8, 79, 6
1863, 526, 34, 8, 80, 6
1840, 521, 34, 8, 79, 6
